"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4039","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","423","@regression PUT API -- Update a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","2436","@regression invalid login test with excel data -","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2689","@smoke user is able to login to app test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-06-25","skipped","2026-06-25","","api/intercept.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","2453","invalid login test with JSON data - invalid@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","3224","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1956","@smoke login page title test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2491","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2072","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2008","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2402","invalid login test with JSON data - wrong@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","317","@regression POST API -- create a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","logout link exist test","chromium","2026-06-25","skipped","2026-06-25","","homepage.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","2428","@smoke logout link exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","2570","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","3863","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","1766","@regression PUT - update a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","2442","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","257","@@regression mock search data api","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","1","home page headers exist test @junesprint","chromium","2026-06-25","skipped","2026-06-25","","homepage.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","2593","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","306","@regression DELETE API -- Delete a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
