"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","432","@smoke GET -- get all users","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
"","330","@regression POST API -- create a user","chromium","2026-07-02","passed","2026-07-02","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","4660","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","387","@regression PUT API -- Update a user","chromium","2026-07-02","passed","2026-07-02","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3219","@smoke user is able to login to app test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","3773","@regression login to app using wrong credentials with Data driven test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-07-02","skipped","2026-07-02","","api/intercept.spec.ts","",""
"","0","login page title test","chromium","2026-07-02","skipped","2026-07-02","","loginpage.spec.ts","",""
"","2909","invalid login test with JSON data - invalid@open.com","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2908","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-02","skipped","2026-07-02","","search.spec.ts","",""
"","1","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-02","skipped","2026-07-02","","loginpagefix.spec.ts","",""
"","3065","invalid login test with JSON data - wrong@open.com","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","0","logout link exist test","chromium","2026-07-02","skipped","2026-07-02","","homepage.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Air","chromium","2026-07-02","skipped","2026-07-02","","search.spec.ts","",""
"","2449","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","4633","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","0","get user test","chromium","2026-07-02","skipped","2026-07-02","","api/users.api.spec.ts","",""
"","345","@regression GET API -- get all users","chromium","2026-07-02","passed","2026-07-02","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
